Book Order,Proposed,Unit
1,Coast Range Wilderness,Arnold Creek
2,Coast Range Wilderness,Bailey Ridge
3,Coast Range Wilderness,Barclay Creek
4,Coast Range Wilderness,Baxter Creek
5,Coast Range Wilderness,Bear Creek
6,Coast Range Wilderness,Big Creek
7,Coast Range Wilderness,Billie Creek
8,Coast Range Wilderness,Bills Creek
9,Coast Range Wilderness,Blue Ridge
10,Coast Range Wilderness,Cape Horn
11,Coast Range Wilderness,Cascade Head
12,Coast Range Wilderness,Cedar Creek
13,Coast Range Wilderness,Cougar Creek
14,Coast Range Wilderness,Crazy Creek
15,Coast Range Wilderness,Cummins Creek Additions
16,Coast Range Wilderness,Deadwood Creek
17,Coast Range Wilderness,Deerhead Point
18,Coast Range Wilderness,Dick's Ridge
19,Coast Range Wilderness,Doerner Fir
20,Coast Range Wilderness,Drift Creek Additions
21,Coast Range Wilderness,Boulder Creek
22,Coast Range Wilderness,Butler Creek
23,Coast Range Wilderness,Cougar Creek
24,Coast Range Wilderness,Lloyd Collette
25,Coast Range Wilderness,Trout Creek
26,Coast Range Wilderness,Fairview Mountain
27,Coast Range Wilderness,Fiddle Creek
28,Coast Range Wilderness,George Creek
29,Coast Range Wilderness,Green Mountain
30,Coast Range Wilderness,Greenleaf Creek
31,Coast Range Wilderness,Gwynn Creek
32,Coast Range Wilderness,Haney Creek
33,Coast Range Wilderness,Hoffman Creek
34,Coast Range Wilderness,Karnowsky Creek
35,Coast Range Wilderness,Lind Peak
36,Coast Range Wilderness,Little Wolf Creek
37,Coast Range Wilderness,Lower Drift Creek
38,Coast Range Wilderness,Lower Tioga Creek
39,Coast Range Wilderness,Marys Peak
40,Coast Range Wilderness,McKinney Creek
41,Coast Range Wilderness,Middle Fork of the North Fork Smith River
42,Coast Range Wilderness,Miles Mountain
43,Coast Range Wilderness,Moon Creek
44,Coast Range Wilderness,Morris Creek
45,Coast Range Wilderness,Mount Hebo
46,Coast Range Wilderness,Mount Popocatepetl
47,Coast Range Wilderness,North Fork Alsea River
48,Coast Range Wilderness,North Fork Smith River
49,Coast Range Wilderness,North Prong Creek
50,Coast Range Wilderness,Palmer Mountain
51,Coast Range Wilderness,Parker Creek
52,Coast Range Wilderness,Randall Hill
53,Coast Range Wilderness,Rock Creek
54,Coast Range Wilderness,Rock Creek Wilderness Additions
55,Coast Range Wilderness,South Fork Smith River (South)
56,Coast Range Wilderness,South Fork Smith River (North)
57,Coast Range Wilderness,Swamp Creek
58,Coast Range Wilderness,Sweet Creek Falls
59,Coast Range Wilderness,Table Creek
60,Coast Range Wilderness,Table Mountain
61,Coast Range Wilderness,Tenmile Ridge
62,Coast Range Wilderness,Three Buttes
63,Coast Range Wilderness,Toketa Creek
64,Coast Range Wilderness,Trask River
65,Coast Range Wilderness,Upper Drift Creek
66,Coast Range Wilderness,Upper Tioga Creek
67,Coast Range Wilderness,Valley of the Giants
68,Coast Range Wilderness,Vingie Ridge
69,Coast Range Wilderness,Wasson Creek
70,Coast Range Wilderness,Windy Peak
71,Coast Range Wilderness,Yellow Creek
72,Elk River Wilderness,Bald Mountain
73,Elk River Wilderness,Coal Falls Creek
74,Elk River Wilderness,Copper Salmon
75,Elk River Wilderness,Coquille River Falls
76,Elk River Wilderness,Grassy Knob Additions
77,Elk River Wilderness,North Fork Dry Creek
78,Elk River Wilderness,Rock Creek
79,Elk River Wilderness,South Fork Sixes River
80,Elk River Wilderness,Hall Creek
81,Elk River Wilderness,Iron Mountain
82,Elk River Wilderness,Jim Hayes Creek
83,Elk River Wilderness,Milbury Mountain
84,Elk River Wilderness,Mud Lake
85,Elk River Wilderness,Panther Creek
86,Elk River Wilderness,Purple Mountain
87,Elk River Wilderness,Riggs Creek
88,Elk River Wilderness,Two by Four Creek
89,Elk River Wilderness,Wild Rogue Additions
90,Elk River Wilderness,Panther Ridge
91,Oregon Dunes Wilderness,Bluebill Lake
92,Oregon Dunes Wilderness,Goose Pasture
93,Oregon Dunes Wilderness,North Spit Coos Bay
94,Oregon Dunes Wilderness,Siuslaw Dunes
95,Oregon Dunes Wilderness,Sutton Creek
96,Oregon Dunes Wilderness,Tahkenitch Creek
97,Oregon Dunes Wilderness,Umpqua Dunes
98,Oregon Dunes Wilderness,Umpqua North Spit
99,Kalmiopsis Wilderness Additions,Bear Ridge
100,Kalmiopsis Wilderness Additions,Bravo Ransom Creek
101,Kalmiopsis Wilderness Additions,Briggs Creek
102,Kalmiopsis Wilderness Additions,Buck Creek
103,Kalmiopsis Wilderness Additions,Dutchy Creek
104,Kalmiopsis Wilderness Additions,Eagle Creek
105,Kalmiopsis Wilderness Additions,East Fork Pistol River
106,Kalmiopsis Wilderness Additions,Eight Dollar Mountain
107,Kalmiopsis Wilderness Additions,Hog Mountain
108,Kalmiopsis Wilderness Additions,Hunter Creek
109,Kalmiopsis Wilderness Additions,Jack Creek
110,Kalmiopsis Wilderness Additions,Josephine Creek
111,Kalmiopsis Wilderness Additions,Kalmiopsis Additions
112,Kalmiopsis Wilderness Additions,Redrock Rainforest
113,Kalmiopsis Wilderness Additions,Lower Illinois River
114,Kalmiopsis Wilderness Additions,Rancherie Creek
115,Kalmiopsis Wilderness Additions,Mineral Rock Fork
116,Kalmiopsis Wilderness Additions,Mount Emily
117,Kalmiopsis Wilderness Additions,Myrtle Creek
118,Kalmiopsis Wilderness Additions,North Fork Pistol River
119,Kalmiopsis Wilderness Additions,North Fork Smith River
120,Kalmiopsis Wilderness Additions,Peavine Ridge
121,Kalmiopsis Wilderness Additions,Pebble Hill
122,Kalmiopsis Wilderness Additions,Quail Prairie Creek
123,Kalmiopsis Wilderness Additions,Quail Prairie Mountain
124,Kalmiopsis Wilderness Additions,Signal Buttes
125,Kalmiopsis Wilderness Additions,Six Mile Creek
126,Kalmiopsis Wilderness Additions,Snow Camp Meadow
127,Kalmiopsis Wilderness Additions,Soldier Creek
128,Kalmiopsis Wilderness Additions,Sunrise Creek
129,Kalmiopsis Wilderness Additions,Upper Wheeler Creek
130,Kalmiopsis Wilderness Additions,Wheeler Creek
131,Siskiyou Crest Wilderness,Althouse Creek
132,Siskiyou Crest Wilderness,Ash Flat
133,Siskiyou Crest Wilderness,Boaz Mountain
134,Siskiyou Crest Wilderness,Buncom
135,Siskiyou Crest Wilderness,Burton Butte
136,Siskiyou Crest Wilderness,Chapman Creek
137,Siskiyou Crest Wilderness,Chocolate Falls
138,Siskiyou Crest Wilderness,Cottonwood Creek - Mudusa Flat
139,Siskiyou Crest Wilderness,Dakubetede
140,Siskiyou Crest Wilderness,Donomore Peak
141,Siskiyou Crest Wilderness,Dutch Gulch
142,Siskiyou Crest Wilderness,Eagle Canyon
143,Siskiyou Crest Wilderness,Elliot Ridge
144,Siskiyou Crest Wilderness,Flume Gulch
145,Siskiyou Crest Wilderness,French Peak
146,Siskiyou Crest Wilderness,Glades Creek
147,Siskiyou Crest Wilderness,Greater Enchanted Forest
148,Siskiyou Crest Wilderness,Humpy Mountain
149,Siskiyou Crest Wilderness,Indian Creek
150,Siskiyou Crest Wilderness,Iron Hand
151,Siskiyou Crest Wilderness,Kinney Mountain
152,Siskiyou Crest Wilderness,Lake Creek
153,Siskiyou Crest Wilderness,Lake Peak
154,Siskiyou Crest Wilderness,Lightening Gulch
155,Siskiyou Crest Wilderness,Lilly Mountain
156,Siskiyou Crest Wilderness,Limestone Creek
157,Siskiyou Crest Wilderness,Little Applegate River
158,Siskiyou Crest Wilderness,Little Grayback Mountain
159,Siskiyou Crest Wilderness,Mount Hope
